user_id,event_type,product_id,price
a1001,view,P0001,99.0
a1001,click,P0001,99.0
a1001,purchase,P0001,99.0
a1002,view,P0005,199.0
a1002,view,P0006,259.0
a1002,click,P0006,259.0
a1003,view,P0011,49.0
a1003,view,P0012,79.0
a1003,view,P0013,69.0
a1004,click,P0020,399.0
a1004,purchase,P0020,399.0
a1005,view,P0003,19.9
a1005,click,P0003,19.9
a1006,view,P0201,1299.0
a1006,view,P0202,899.0
a1006,click,P0202,899.0
a1007,view,P0133,29.9
a1007,view,P0134,39.9
a1008,click,P0301,59.9
a1009,view,P0111,499.0
a1009,click,P0111,499.0
a1010,view,P0112,599.0
